Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,Return,Return_sign
1640995200000,2022-01-01 00:00:00,BTCUSDT,46216.93,46731.39,46208.37,46656.13,1503.33095,69879986.3904993,38608,0.009503011126009389,1
1640998800000,2022-01-01 01:00:00,BTCUSDT,46656.14,46949.99,46574.06,46778.14,943.81539,44127148.1176022,31872,0.002614875555500305,1
1641002400000,2022-01-01 02:00:00,BTCUSDT,46778.14,46928.94,46721.96,46811.77,485.1686,22720670.4192001,24364,0.0007189255494125542,1
1641006000000,2022-01-01 03:00:00,BTCUSDT,46811.77,46916.63,46760.12,46813.2,562.88971,26363260.4633629,19882,3.054787289607488e-05,1
1641009600000,2022-01-01 04:00:00,BTCUSDT,46813.21,46887.33,46591.23,46711.05,861.88389,40272043.7383876,23357,-0.0021822899989126193,0
1641013200000,2022-01-01 05:00:00,BTCUSDT,46711.05,47555.55,46673.94,47192.55,1400.73642,66188305.956227,41431,0.01030805344773881,1
1641016800000,2022-01-01 06:00:00,BTCUSDT,47192.56,47324.42,46940.0,46979.62,613.97776,28941491.5656397,25196,-0.0045121519154713175,0
1641020400000,2022-01-01 07:00:00,BTCUSDT,46979.61,47255.85,46864.84,47194.73,646.20081,30399865.6325987,25166,0.004579007786569591,1
1641024000000,2022-01-01 08:00:00,BTCUSDT,47194.73,47344.69,47075.11,47124.82,532.44767,25132258.9178944,24412,-0.0014813094597639076,0
1641027600000,2022-01-01 09:00:00,BTCUSDT,47124.82,47215.56,46933.58,47143.98,541.32491,25480514.3843935,25365,0.0004065798023208045,1
1641031200000,2022-01-01 10:00:00,BTCUSDT,47143.98,47298.75,46715.39,46871.08,923.0176,43322629.2277111,32540,-0.00578865000366964,0
1641034800000,2022-01-01 11:00:00,BTCUSDT,46871.09,47007.73,46756.77,46758.87,732.88793,34373032.6824355,27081,-0.0023942263770694023,0
1641038400000,2022-01-01 12:00:00,BTCUSDT,46758.87,47150.48,46756.3,47074.05,582.15009,27355387.028293,25608,0.006740539281637907,1
1641042000000,2022-01-01 13:00:00,BTCUSDT,47074.05,47199.67,46935.09,47023.24,454.14412,21373423.4608165,23077,-0.0010793632585257684,0
1641045600000,2022-01-01 14:00:00,BTCUSDT,47023.24,47100.0,46850.18,46926.22,503.6622,23656850.5083971,23020,-0.002063235115232315,0
1641049200000,2022-01-01 15:00:00,BTCUSDT,46920.01,47491.14,46871.69,47219.04,1515.95305,71605243.7145931,37411,0.006373187047487816,1
1641052800000,2022-01-01 16:00:00,BTCUSDT,47219.04,47527.24,47186.07,47268.62,1049.57919,49727146.241104,36116,0.0010500001694232189,1
1641056400000,2022-01-01 17:00:00,BTCUSDT,47268.61,47954.63,47238.81,47754.48,1320.66577,62917380.6519855,50007,0.010278914484686616,1
1641060000000,2022-01-01 18:00:00,BTCUSDT,47754.47,47844.97,47420.0,47560.55,860.76025,40986790.5852016,33471,-0.004060771693204809,0
1641063600000,2022-01-01 19:00:00,BTCUSDT,47560.54,47611.84,47292.72,47329.78,830.6716,39371494.0751019,34902,-0.00485192136170031,0
1641067200000,2022-01-01 20:00:00,BTCUSDT,47329.79,47559.03,47250.18,47391.82,717.20792,33997955.140303,26745,0.0013105910674862246,1
1641070800000,2022-01-01 21:00:00,BTCUSDT,47391.82,47573.05,47268.79,47319.67,809.21927,38367198.6185877,26162,-0.0015224146276720636,0
1641074400000,2022-01-01 22:00:00,BTCUSDT,47319.66,47490.98,47222.22,47440.74,466.47861,22096653.53843,26369,0.0025587673284210933,1
1641078000000,2022-01-01 23:00:00,BTCUSDT,47440.74,47814.0,47277.77,47722.65,746.28954,35498428.5247211,32737,0.005942360932818576,1
1641081600000,2022-01-02 00:00:00,BTCUSDT,47722.66,47750.0,47381.12,47625.3,1082.50817,51510548.660154,32921,-0.0020401209823593357,0
1641085200000,2022-01-02 01:00:00,BTCUSDT,47625.29,47641.83,47315.38,47377.97,465.7536,22096206.48265,24393,-0.0051930392444854345,0
1641088800000,2022-01-02 02:00:00,BTCUSDT,47377.97,47449.56,47275.5,47370.5,452.39245,21431205.7744405,25513,-0.0001576682158395804,0
1641092400000,2022-01-02 03:00:00,BTCUSDT,47370.49,47467.11,47269.47,47329.47,387.25302,18338323.3243754,18986,-0.0008659399554447674,0
